code,name,population
10428,群馬県 高山村,"3,674"
10429,群馬県 東吾妻町,"14,033"
10443,群馬県 片品村,"4,390"
10444,群馬県 川場村,"3,647"
10448,群馬県 昭和村,"7,347"
10449,群馬県 みなかみ町,"19,347"
10464,群馬県 玉村町,"36,654"
10521,群馬県 板倉町,"15,015"
10522,群馬県 明和町,"11,044"
10523,群馬県 千代田町,"11,318"
10524,群馬県 大泉町,"41,202"
10525,群馬県 邑楽町,"26,426"
11100,埼玉県 さいたま市,"1,263,979"
11101,埼玉県 さいたま市 西区,"87,146"
11102,埼玉県 さいたま市 北区,"143,446"
11103,埼玉県 さいたま市 大宮区,"113,864"
11104,埼玉県 さいたま市 見沼区,"161,960"
11105,埼玉県 さいたま市 中央区,"98,762"
11106,埼玉県 さいたま市 桜区,"97,910"
11107,埼玉県 さいたま市 浦和区,"154,416"
11108,埼玉県 さいたま市 南区,"180,152"
11109,埼玉県 さいたま市 緑区,"116,522"
11110,埼玉県 さいたま市 岩槻区,"109,801"
11201,埼玉県 川越市,"350,745"
11202,埼玉県 熊谷市,"198,742"
11203,埼玉県 川口市,"578,112"
11206,埼玉県 行田市,"82,113"
11207,埼玉県 秩父市,"63,555"
11208,埼玉県 所沢市,"340,386"
11209,埼玉県 飯能市,"80,715"
11210,埼玉県 加須市,"112,229"
11211,埼玉県 本庄市,"77,881"
11212,埼玉県 東松山市,"91,437"
11214,埼玉県 春日部市,"232,709"
11215,埼玉県 狭山市,"152,405"
11216,埼玉県 羽生市,"54,874"
11217,埼玉県 鴻巣市,"118,072"
11218,埼玉県 深谷市,"143,811"
11219,埼玉県 上尾市,"225,196"
11221,埼玉県 草加市,"247,034"
11222,埼玉県 越谷市,"337,498"
11223,埼玉県 蕨市,"72,260"
11224,埼玉県 戸田市,"136,150"
11225,埼玉県 入間市,"148,390"
11227,埼玉県 朝霞市,"136,299"
11228,埼玉県 志木市,"72,676"
11229,埼玉県 和光市,"80,826"
11230,埼玉県 新座市,"162,122"
11231,埼玉県 桶川市,"73,936"
11232,埼玉県 久喜市,"152,311"
11233,埼玉県 北本市,"67,409"
11234,埼玉県 八潮市,"86,717"
11235,埼玉県 富士見市,"108,102"
11237,埼玉県 三郷市,"136,521"
11238,埼玉県 蓮田市,"62,380"
11239,埼玉県 坂戸市,"101,679"
11240,埼玉県 幸手市,"52,524"
11241,埼玉県 鶴ヶ島市,"70,255"
11242,埼玉県 日高市,"56,520"
11243,埼玉県 吉川市,"69,738"
11245,埼玉県 ふじみ野市,"110,970"
11246,埼玉県 白岡市,"51,535"
11301,埼玉県 伊奈町,"44,442"
11324,埼玉県 三芳町,"38,456"
11326,埼玉県 毛呂山町,"37,275"
11327,埼玉県 越生町,"11,716"
11341,埼玉県 滑川町,"18,212"
11342,埼玉県 嵐山町,"18,341"
11343,埼玉県 小川町,"31,178"
11346,埼玉県 川島町,"20,788"
11347,埼玉県 吉見町,"19,631"
11348,埼玉県 鳩山町,"14,338"
11349,埼玉県 ときがわ町,"11,492"
11361,埼玉県 横瀬町,"8,519"
11362,埼玉県 皆野町,"10,133"
11363,埼玉県 長瀞町,"7,324"
11365,埼玉県 小鹿野町,"12,117"
11369,埼玉県 東秩父村,"2,915"
11381,埼玉県 美里町,"11,207"
11383,埼玉県 神川町,"13,730"
11385,埼玉県 上里町,"30,565"
11408,埼玉県 寄居町,"34,081"
11442,埼玉県 宮代町,"33,705"
11464,埼玉県 杉戸町,"45,495"
11465,埼玉県 松伏町,"30,061"
12100,千葉県 千葉市,"971,882"
12101,千葉県 千葉市 中央区,"205,070"
12102,千葉県 千葉市 花見川区,"179,200"
12103,千葉県 千葉市 稲毛区,"160,968"
12104,千葉県 千葉市 若葉区,"151,078"
12105,千葉県 千葉市 緑区,"126,848"
12106,千葉県 千葉市 美浜区,"148,718"
12202,千葉県 銚子市,"64,415"
12203,千葉県 市川市,"481,732"
12204,千葉県 船橋市,"622,890"
12205,千葉県 館山市,"47,464"
12206,千葉県 木更津市,"134,141"
12207,千葉県 松戸市,"483,480"
12208,千葉県 野田市,"153,583"
12210,千葉県 茂原市,"89,688"
12211,千葉県 成田市,"131,190"
12212,千葉県 佐倉市,"172,739"
12213,千葉県 東金市,"60,652"
12215,千葉県 旭市,"66,586"
12216,千葉県 習志野市,"167,909"
12217,千葉県 柏市,"413,954"
12218,千葉県 勝浦市,"19,248"
12219,千葉県 市原市,"274,656"
12220,千葉県 流山市,"174,373"
12221,千葉県 八千代市,"193,152"
12222,千葉県 我孫子市,"131,606"
12223,千葉県 鴨川市,"33,932"
12224,千葉県 鎌ケ谷市,"108,917"
12225,千葉県 君津市,"86,033"
12226,千葉県 富津市,"45,601"
12227,千葉県 浦安市,"164,024"
12228,千葉県 四街道市,"89,245"
12229,千葉県 袖ケ浦市,"60,952"
12230,千葉県 八街市,"70,734"
12231,千葉県 印西市,"92,670"
12232,千葉県 白井市,"61,674"
12233,千葉県 富里市,"49,636"
12234,千葉県 南房総市,"39,033"
12235,千葉県 匝瑳市,"37,261"
12236,千葉県 香取市,"77,499"
12237,千葉県 山武市,"52,222"
12238,千葉県 いすみ市,"38,594"
12239,千葉県 大網白里市,"49,184"
12322,千葉県 酒々井町,"20,955"
12329,千葉県 栄町,"21,228"
12342,千葉県 神崎町,"6,133"
12347,千葉県 多古町,"14,724"
12349,千葉県 東庄町,"14,152"
12403,千葉県 九十九里町,"16,510"
12409,千葉県 芝山町,"7,431"
12410,千葉県 横芝光町,"23,762"
12421,千葉県 一宮町,"11,767"
12422,千葉県 睦沢町,"7,222"
12423,千葉県 長生村,"14,359"
12424,千葉県 白子町,"11,149"
12426,千葉県 長柄町,"7,337"
12427,千葉県 長南町,"8,206"
12441,千葉県 大多喜町,"9,843"
12443,千葉県 御宿町,"7,315"
12463,千葉県 鋸南町,"8,022"
13101,東京都 千代田区,"58,406"
13102,東京都 中央区,"141,183"
13103,東京都 港区,"243,283"
13104,東京都 新宿区,"333,560"
13105,東京都 文京区,"219,724"
13106,東京都 台東区,"198,073"
13107,東京都 墨田区,"256,274"
13108,東京都 江東区,"498,109"
13109,東京都 品川区,"386,855"
13110,東京都 目黒区,"277,622"
